technology TIMES-WAL;technology PyPSA;Base year;;;;
ENUC_Thiange;nuclear;TRUE;;;;
ERNW_Eolien_Big_E1;onwind;TRUE;;;;
ERNW_PV-Buildings_SOL_N;solar-rooftop;FALSE;;;;
ERNW_WINON_WIN_N;onwind;FALSE;;;;
ETSTP_CCGT_GAS_N;CCGT;FALSE;;;;
ETSTP_NUC-SCFR-GEN4_NUC_N;nuclear;FALSE;;;;
ETSTP_TGV_GAS_E01;CCGT;TRUE;;;;
ETSTP_TGV_GAS_E04;CCGT;TRUE;;;;
ETSTP_TVC_WST_E11;CCGT;TRUE;;;;
ERNW_Eolien_Medium_E3;onwind;TRUE;;;;
ERNW_Eolien_Small_E4;onwind;TRUE;;;;
ERNW_GEO-EGS_GEO_N;;FALSE;;;;
ERNW_HYD_HYD_N;hydro;FALSE;;;;
ERNW_Hydro_Big_E5;hydro;TRUE;;;;
ERNW_Hydro_Medium_E6;hydro;TRUE;;;;
ERNW_Hydro_Pompage_E8;Pumped-Storage-Hydro-store;TRUE;;;;
ERNW_Hydro_Pompage_E8;Pumped-Storage-Hydro-bicharger;TRUE;;;;
ERNW_Hydro_Small_E7;hydro;TRUE;;;;
ERNW_PV-Buildings_SOL_N;solar-rooftop commercial;FALSE;;;;
ERNW_PV-GreenField_SOL_N;;FALSE;;;;
ERNW_PV-Large_Roof_SOL_N;solar-rooftop commercial;FALSE;;;;
ERNW_PV-RES_Homes_SOL_N;solar-rooftop residential;FALSE;;;;
ERNW_WINON_WIN_N;onwind;FALSE;;;;
ERNW_WINON-Small_WIN_N;onwind;FALSE;;;;
ETSTP_CCGT_GAS_N;CCGT;FALSE;;;;
ETSTP_CCGT-CCS_PostC_GAS_N;;FALSE;;;;
ETSTP_FBB_WOO_N;;FALSE;;;;
ETSTP_FB-CCS_PostC_COL_N;;FALSE;;;;
ETSTP_GFST_WOO_N;;FALSE;;;;
ETSTP_IGCC_COH_N;;FALSE;;;;
ETSTP_IGCC_COL_N;;FALSE;;;;
ETSTP_IGCC_WOO_N;;FALSE;;;;
ETSTP_IGCC-CCS_PreC_COH_N;;FALSE;;;;
ETSTP_IGCC-CCS_PreC_COL_N;;FALSE;;;;
ETSTP_MOT_BGS_E09;;TRUE;;;;
ETSTP_NUC-LCFR_NUC_N;nuclear;FALSE;;;;
ETSTP_NUC-LWR-GEN3_NUC_N;nuclear;FALSE;;;;
ETSTP_NUC-LWR-SM_NUC_N;nuclear;FALSE;;;;
ETSTP_NUC-SCFR-GEN4_NUC_N;nuclear;FALSE;;;;
ETSTP_OCGT-A_GAS_N;OCGT;FALSE;;;;
ETSTP_OCGT-C_GAS_N;OCGT;FALSE;;;;
ETSTP_PSC_COH_N;coal;FALSE;;;;
ETSTP_PSC_COL_N;;FALSE;;;;
ETSTP_PSC-CCS_Oxyf_COH_N;;FALSE;;;;
ETSTP_PSC-CCS_PostC_COH_N;;FALSE;;;;
ETSTP_TAG_GAS_E06;OCGT;TRUE;;;;
ETSTP_TBJ_KER_E05;OCGT;TRUE;;;;
ETSTP_TGV_GAS_E01;CCGT;TRUE;;;;
ETSTP_TGV_GAS_E02;CCGT;TRUE;;;;
ETSTP_TGV_GAS_E03;CCGT;TRUE;;;;
